ticket_id,purchase_date,price,customer_id,scan_date,scanned_by,discount_id,source,referrer_id,discount_pct,event_id,event_start,event_end,brand_id,venue_id,city_id,flyer_url
20043,2023-06-22 15:15:06.169017+00,10.8,216,\N,\N,XOnSiXa7r3CSB6FuBlyTge-XM2mxQkoH,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20032,2023-06-21 14:38:07.084783+00,10,12443,2023-07-01 18:43:23.876358+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20034,2023-06-21 15:07:47.83306+00,10,12444,2023-07-01 20:30:23.274723+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20035,2023-06-21 15:07:47.92876+00,10,12444,2023-07-01 20:30:28.431272+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20048,2023-06-23 09:07:19.571685+00,10.8,11961,2023-07-01 20:34:25.776563+00,jonathan,Xo9xTzfadUU6Q4BF0TTgUE_40QaD0WXL,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20049,2023-06-23 09:07:19.665751+00,10.8,11961,2023-07-01 20:34:27.955685+00,jonathan,Xo9xTzfadUU6Q4BF0TTgUE_40QaD0WXL,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20045,2023-06-22 17:11:57.759812+00,12,12449,2023-07-01 20:43:09.395562+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20044,2023-06-22 17:11:57.664272+00,12,12449,2023-07-01 20:43:20.466777+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20051,2023-06-23 13:51:07.786505+00,10.8,436,2023-07-01 20:44:02.258669+00,jonathan,pymuGq1yLgtQargljwhzKi5rlF9Af4v7,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20052,2023-06-23 13:56:09.872352+00,10.8,208,2023-07-01 20:57:35.14789+00,jonathan,PKLQWbMP8W63zlU_rYrwXFcV-ktltokP,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
